precinct_code,precinct_name,precinct_lat,precinct_long
1,Central,34.04469117,-118.2477591
2,Rampart,34.05739361,-118.2670362
3,Southwest,33.94101446,-118.2746352
4,Hollenbeck,34.04559308,-118.2126585
5,Harbor,33.75847796,-118.2891371
6,Hollywood,34.09639066,-118.3307113
7,Wilshire,34.04753986,-118.3422091
8,West LA,34.04421975,-118.450923
9,Van Nuys,34.18452019,-118.4446677
10,West Valley,34.1943825,-118.5473025
11,Northeast,34.12007908,-118.2494893
12,77th Street,33.97054172,-118.2774713
13,Newton,34.01329292,-118.256426
14,Pacific,33.99260764,-118.4199641
15,N Hollywood,34.17248313,-118.3863164
16,Foothill,34.25418302,-118.4104662
17,Devonshire,34.28845217,-118.5444767
18,Southeast,33.93919095,-118.2751038
19,Mission,34.27366188,-118.468562
20,Olympic,34.05101647,-118.2913666
21,Topanga,34.22209756,-118.5990014